Component,Arxiu,Linia,ID,Classes CSS,Num Fills,Nivell de Sospita (Basura?)
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,104,,infoteca-filters,1,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,117,,infoteca-grid,1,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,119,,infografia-card glass-panel,2,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,120,,infografia-media group,2,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,122,,infografia-overlay opacity-0 group-hover:opacity-100 transition-opacity duration-300,3,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,128,,infografia-info,2,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,130,,infografia-meta,2,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,141,,fixed inset-0 z-modal bg-black/95 backdrop-blur-xl flex items-center justify-center p-4 md:p-10 animate-in fade-in duration-300,2,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,151,,relative max-w-6xl w-full h-full flex flex-col items-center justify-center gap-6,2,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,160,,text-center space-y-2,3,
InfografiaGallery.jsx,src/components/features/infoteca/InfografiaGallery.jsx,163,,flex gap-4 justify-center pt-4,2,
VirtualCardList.jsx,src/components/feed/VirtualCardList.jsx,12,,,2,Contenidor simple sense classes/id
VirtualCardList.jsx,src/components/feed/VirtualCardList.jsx,39,,,1,Wrapper Innecessari (1 fill, sense classes)
VirtualCardList.jsx,src/components/feed/VirtualCardList.jsx,59,,,1,Wrapper Innecessari (1 fill, sense classes)
AuthGate.jsx,src/components/gates/AuthGate.jsx,14,,min-h-screen flex items-center justify-center flex-col relative overflow-hidden,6,
AuthGate.jsx,src/components/gates/AuthGate.jsx,16,,absolute inset-0 bg-gradient-to-br from-[#00f2ff]/5 to-transparent pointer-events-none,0,DIV Buit (Sense contingut)
AuthGate.jsx,src/components/gates/AuthGate.jsx,17,,absolute top-1/2 left-1/2 -translate-x-1/2 -translate-y-1/2 w-64 h-64 bg-[#00f2ff] opacity-[0.03] blur-[60px] rounded-full pointer-events-none,0,DIV Buit (Sense contingut)
LocalFirstGate.jsx,src/components/gates/LocalFirstGate.jsx,215,,bg-[#111827] text-white min-h-screen flex items-center justify-center flex-col p-6 text-center,4,
LocalFirstGate.jsx,src/components/gates/LocalFirstGate.jsx,241,,min-h-screen flex items-center justify-center flex-col relative overflow-hidden,4,
LocalFirstGate.jsx,src/components/gates/LocalFirstGate.jsx,242,,absolute inset-0 bg-gradient-to-br from-[#00f2ff]/5 to-transparent pointer-events-none,0,DIV Buit (Sense contingut)
LocalFirstGate.jsx,src/components/gates/LocalFirstGate.jsx,244,,flex justify-center gap-2 mb-6,1,
LocalFirstGate.jsx,src/components/gates/LocalFirstGate.jsx,246,,w-1.5 h-1.5 rounded-full bg-[#00f2ff] animate-pulse opacity-80,0,DIV Buit (Sense contingut)
OfflineGate.jsx,src/components/gates/OfflineGate.jsx,65,,fixed bottom-6 left-1/2 transform -translate-x-1/2 w-max max-w-[90%] bg-red-600 text-white font-bold text-center text-[15px] py-3 px-6 rounded-[28px] shadow-lg z-dropdown animate-[bounce_2s_infinite],1,
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,6,,,1,Wrapper Innecessari (1 fill, sense classes)
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,47,,keychain-backup p-6 bg-[var(--sdp-bg-surface)] rounded-lg,3,
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,65,,space-y-6,6,
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,67,,text-center,2,
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,69,,inline-block bg-white p-4 rounded-lg,1,
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,75,,,2,Contenidor simple sense classes/id
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,77,,bg-[var(--sdp-bg-primary)] p-4 rounded-lg font-mono text-lg text-center,1,
KeychainBackupUI.jsx,src/components/keychain/KeychainBackupUI.jsx,83,,text-center,2,
AppLayout.jsx,src/components/layout/AppLayout.jsx,267,,flex flex-col h-screen support-dvh:h-[100dvh] w-full overflow-hidden font-sans bg-theme-base text-theme-text relative,18,
AppLayout.jsx,src/components/layout/AppLayout.jsx,283,,absolute inset-0 z-[var(--z-overlay)] bg-[var(--theme-accent-primary)]/95 flex flex-col items-center justify-center text-white pointer-events-none transition-all duration-300 animate-in fade-in zoom-in-95,3,
AppLayout.jsx,src/components/layout/AppLayout.jsx,284,,w-32 h-32 rounded-full bg-white/20 flex items-center justify-center mb-6 animate-pulse,1,
AppLayout.jsx,src/components/layout/AppLayout.jsx,298,,w-full relative z-[500] bg-[#000000],1,
AppLayout.jsx,src/components/layout/AppLayout.jsx,313,,flex-1 grid md:grid-cols-[auto_1fr] overflow-hidden relative min-h-0,5,
AppLayout.jsx,src/components/layout/AppLayout.jsx,316,,fixed inset-0 bg-black/80 z-[var(--z-overlay)] md:hidden transition-opacity duration-300 animate-in fade-in cursor-pointer,0,DIV Buit (Sense contingut)
AppLayout.jsx,src/components/layout/AppLayout.jsx,327,,[Expressió Dinàmica],1,
AppLayout.jsx,src/components/layout/AppLayout.jsx,377,,flex-1 min-h-0 relative min-w-0 m-0 flex flex-col,1,
AppLayout.jsx,src/components/layout/AppLayout.jsx,502,,fixed inset-0 z-[var(--z-modal)] glass-overlay bg-black/80 animate-in fade-in duration-300,1,
AppLayout.jsx,src/components/layout/AppLayout.jsx,520,,w-[300px] md:w-[320px] h-full,0,DIV Buit (Sense contingut)
AppLayout.jsx,src/components/layout/AppLayout.jsx,535,,fixed inset-0 z-[var(--z-modal)] glass-overlay bg-black/90 md:pl-[240px],1,
AppLayout.jsx,src/components/layout/AppLayout.jsx,541,,h-full flex flex-col relative animate-slide-up,1,
ChatLayout.jsx,src/components/layout/ChatLayout.jsx,63,,absolute inset-0 w-full h-full bg-theme-base isolate grid grid-cols-1 lg:grid-cols-[var(--left-width)_minmax(0;1fr)],4,
ChatLayout.jsx,src/components/layout/ChatLayout.jsx,70,,[Expressió Dinàmica],3,
ChatLayout.jsx,src/components/layout/ChatLayout.jsx,86,,hidden lg:flex absolute -right-3 top-0 bottom-0 w-6 cursor-col-resize z-50 items-center justify-center group,1,
ChatLayout.jsx,src/components/layout/ChatLayout.jsx,90,,[Expressió Dinàmica],1,
ChatLayout.jsx,src/components/layout/ChatLayout.jsx,95,,[Expressió Dinàmica],2,
ChatLayout.jsx,src/components/layout/ChatLayout.jsx,107,,[Expressió Dinàmica],1,
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,34,,relative z-10 bg-[var(--theme-accent-primary)] w-full h-[56px] min-h-[56px] max-h-[56px] flex items-center justify-between px-3 transition-colors duration-500 shadow-md,7,
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,38,,shrink-0 mr-3 text-white/90 hover:text-white transition-colors flex items-center justify-center,1,
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,49,,shrink-0 w-12 mr-2,0,DIV Buit (Sense contingut)
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,53,,flex items-center flex-1 h-[36px] bg-white rounded-[24px] overflow-hidden focus-within:ring-2 focus-within:ring-[var(--theme-accent-primary)] transition-all group,6,
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,54,,flex items-center justify-center pl-4 pr-2 h-full,1,
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,74,,flex items-center pr-2 gap-2 shrink-0,1,
ContextualHeader.jsx,src/components/layout/ContextualHeader.jsx,92,,hidden sm:flex items-center bg-black/20 dark:bg-white/10 p-1 rounded-full gap-1 ml-3 shrink-0,3,
Header.jsx,src/components/layout/Header.jsx,39,,shrink-0 z-50,1,
Header.jsx,src/components/layout/Header.jsx,87,,notranslate shrink-0 w-[36px] h-[36px] max-[350px]:w-[28px] max-[350px]:h-[28px] rounded-full bg-[#1A1A1A] flex items-center justify-center text-xs font-black text-white border border-[#333] overflow-hidden relative,2,
MobileBottomNav.jsx,src/components/layout/MobileBottomNav.jsx,34,,notranslate flex flex-1 items-center justify-evenly w-full h-[64px] px-2,1,
NavigationRail.jsx,src/components/layout/NavigationRail.jsx,55,,flex-1 overflow-y-auto stable-scroll custom-scrollbar flex flex-col pt-1 px-3 pb-6,1,
NavigationRail.jsx,src/components/layout/NavigationRail.jsx,65,,absolute inset-0 bg-[#F97316] rounded-tactile transition-colors duration-200,0,DIV Buit (Sense contingut)
NavigationRail.jsx,src/components/layout/NavigationRail.jsx,87,,absolute inset-0 bg-red-500/10 rounded-tactile transition-colors duration-200,0,DIV Buit (Sense contingut)
NavigationRail.jsx,src/components/layout/NavigationRail.jsx,106,,flex flex-col items-start gap-3 px-4,2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,43,,folder-item-wrapper,2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,44,,[Expressió Dinàmica],2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,58,,flex items-center overflow-hidden,4,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,61,,w-5 flex items-center justify-center shrink-0 sidebar-chevron-element,1,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,75,,[Expressió Dinàmica],2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,98,notebook-sidebar,[Expressió Dinàmica],3,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,103,,flex items-center gap-2 px-3 py-3 mb-1 sidebar-row-element,3,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,116,,flex-1 overflow-y-auto custom-scrollbar px-2 space-y-1,3,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,122,,mt-4 pt-2 border-t border-gray-200 dark:border-[#333],1,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,123,,[Expressió Dinàmica],2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,142,,mt-4 pt-2 border-t border-gray-200 dark:border-[#333],2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,143,,flex items-center gap-2 px-3 py-2 mb-1 sidebar-row-element,2,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,147,,space-y-1 px-2,1,
NotebookSidebar.jsx,src/components/layout/NotebookSidebar.jsx,149,,[Expressió Dinàmica],2,
PageHeader.jsx,src/components/layout/PageHeader.jsx,21,,w-12 flex items-center justify-start,1,
PageHeader.jsx,src/components/layout/PageHeader.jsx,23,,fixed top-[max(env(safe-area-inset-top);0.5rem)] left-2 sm:left-4 z-[9999] isolate,1,
PageHeader.jsx,src/components/layout/PageHeader.jsx,44,,flex-1 flex flex-col items-center justify-center overflow-hidden px-2,2,
PageHeader.jsx,src/components/layout/PageHeader.jsx,56,,w-12 flex items-center justify-end,1,
SystemContainers.jsx,src/components/layout/SystemContainers.jsx,20,,[Expressió Dinàmica],1,
SystemContainers.jsx,src/components/layout/SystemContainers.jsx,35,,[Expressió Dinàmica],1,
SystemPageLayout.jsx,src/components/layout/SystemPageLayout.jsx,20,,[Expressió Dinàmica],6,
SystemPageLayout.jsx,src/components/layout/SystemPageLayout.jsx,35,,[Expressió Dinàmica],1,
SystemPageLayout.jsx,src/components/layout/SystemPageLayout.jsx,43,,w-full sticky bottom-0 mt-auto z-40 shadow-[0_-10px_40px_-5px_rgba(0;0;0;0.1)] bg-theme-base border-t border-[rgba(255;255;255;0.05)] isolate,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,120,,m3-dialog-overlay,2,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,121,,m3-dialog-content animate-in-up,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,122,,m3-dialog-header,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,126,,header-title-group,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,138,,m3-dialog-body scrollable,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,139,,flex items-center justify-between mb-4 mt-2,2,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,160,,flex flex-col gap-4,5,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,161,,w-full,2,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,175,,flex gap-4,2,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,176,,flex-1,2,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,189,,flex-1,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,216,,flex gap-4,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,217,,flex-1,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,226,,flex-1,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,236,,flex-1,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,247,,flex gap-4,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,248,,flex-1,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,261,,flex-1,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,272,,flex-1 flex items-center px-4,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,286,,m3-editor-container mt-6,1,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,297,,flex items-center gap-4,3,
AddItemModal.jsx,src/components/modals/AddItemModal.jsx,304,,flex items-center gap-2 bg-emerald-500/20 text-emerald-400 px-3 py-1.5 rounded-full text-xs font-bold animate-in zoom-in ml-auto,3,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,192,,modal-overlay animate-in,1,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,193,,agent-selector-content glass-morphism,3,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,194,,agent-header,2,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,195,,header-info,2,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,204,,agents-grid,1,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,206,,agent-card,2,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,212,,agent-icon,1,
AgentSelectorModal.jsx,src/components/modals/AgentSelectorModal.jsx,215,,agent-info,3,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,21,,calendar-modal-overlay animate-in,1,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,22,,calendar-modal-content,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,23,,calendar-modal-header,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,24,,title-group,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,31,,calendar-modal-body overflow-y-auto max-h-[70vh],4,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,34,,oauth-dashboard mb-6 pb-6 border-b border-[var(--border-master)],3,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,35,,dashboard-header-flex mb-2,1,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,43,,calendars-list,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,47,,[Expressió Dinàmica],2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,48,,cal-info,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,49,,cal-color-dot,0,DIV Buit (Sense contingut)
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,57,,cal-actions,1,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,64,,checkbox-visual,1,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,73,,p-4 text-center text-[var(--text-muted)] italic text-sm,1,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,82,,oauth-login-box,4,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,91,,oauth-dashboard,3,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,92,,dashboard-header-flex,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,103,,calendars-list,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,109,,[Expressió Dinàmica],2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,110,,cal-info,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,111,,cal-color-dot,0,DIV Buit (Sense contingut)
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,120,,cal-actions,2,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,135,,checkbox-visual,1,
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,144,,p-4 text-center text-[var(--text-muted)] italic,1,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,14,,fixed inset-0 z-[var(--z-modal)] bg-black/60 backdrop-blur-sm flex items-center justify-center p-4 animate-in fade-in duration-200,1,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,15,,connection-modal-content glass-morphism w-full max-w-md w-[85%] sm:w-full,3,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,16,,connection-modal-header,3,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,17,,header-icon,1,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,20,,header-title,2,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,29,,connection-modal-body,3,
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,31,,privacy-badge-notice,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,78,,px-6 pt-6 pb-4 flex items-center justify-between border-b border-theme-border,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,89,,,2,Contenidor simple sense classes/id
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,103,,grid grid-cols-2 gap-4,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,104,,,2,Contenidor simple sense classes/id
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,108,,,2,Contenidor simple sense classes/id
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,115,,flex gap-4,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,132,,,1,Wrapper Innecessari (1 fill, sense classes)
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,140,,,2,Contenidor simple sense classes/id
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,151,,[Expressió Dinàmica],3,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,152,,absolute inset-0 bg-black/60 backdrop-blur-md,0,DIV Buit (Sense contingut)
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,157,,[Expressió Dinàmica],4,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,163,,flex items-center justify-between p-5 border-b border-[var(--border-master)] bg-[var(--bg-panel-elevated)],2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,164,,flex items-center gap-3,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,173,,flex items-center gap-2,1,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,191,,flex-1 overflow-y-auto p-5 space-y-5 custom-scrollbar pb-24,10,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,195,,space-y-1.5 opacity-in,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,208,,space-y-1.5,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,209,,flex justify-between items-center mb-1,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,217,,[Expressió Dinàmica],1,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,218,,h-40 w-full animate-pulse bg-[#3B332A] rounded-xl flex items-center justify-center text-white/40 font-mono text-xs,1,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,231,,grid grid-cols-2 gap-4,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,232,,space-y-1.5,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,234,,relative,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,243,,space-y-1.5,4,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,251,,absolute right-9 top-[372px] md:top-[388px] pointer-events-none text-white/50,1,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,259,,space-y-3 pt-2,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,263,,relative w-full aspect-video rounded-xl overflow-hidden bg-black/50 border border-white/10 group,3,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,293,,text-white/60 mb-3 group-hover:scale-110 group-hover:text-white transition-all,1,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,304,,px-5 py-2.5 bg-orange-500/20 text-orange-400 font-bold rounded-full text-sm group-hover:bg-orange-500 group-hover:text-white transition-colors,1,
GlobalModals.jsx,src/components/modals/GlobalModals.jsx,83,,outline-none contents,13,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,48,,fixed inset-0 z-[100] flex items-center justify-center p-4 bg-black/60 backdrop-blur-sm sm:items-center sm:p-0,1,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,55,,flex items-center justify-between p-5 border-b border-[var(--border-master)] bg-gradient-to-r from-[var(--theme-accent-primary)]/10 to-transparent,2,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,56,,flex items-center gap-3,2,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,68,,p-6 overflow-y-auto flex-1,1,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,70,,flex items-center justify-center py-10,1,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,74,,text-center py-10 opacity-60,2,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,79,,space-y-4,1,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,89,,[Expressió Dinàmica],1,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,98,,flex items-start gap-3,2,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,99,,mt-1 bg-black/40 p-2 rounded-full,1,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,102,,,3,Contenidor simple sense classes/id
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,122,,p-5 border-t border-[var(--border-master)] bg-[var(--bg-panel)] flex justify-end gap-3,2,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,9,,legal-modal-overlay animate-fade-in,1,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,10,,[Expressió Dinàmica],3,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,11,,legal-modal-header,3,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,12,,header-icon-badge,1,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,15,,header-text,2,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,26,,legal-document-body,2,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,27,,watermark-logo,1,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,28,,doc-scroll-area,1,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,30,,legal-text-content,1,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,49,,no-content,2,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,58,,protection-badge,2,
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,62,,footer-actions,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,139,,media-viewer-overlay,3,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,140,,media-viewer-toolbar,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,141,,toolbar-left,1,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,144,,toolbar-right,3,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,161,,media-viewer-content,4,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,168,,viewer-main-media-container relative h-full w-full flex items-center justify-center,4,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,183,,viewer-main-media flex items-center justify-center bg-[var(--theme-surface-sunken)] flex-col text-[var(--theme-text-muted)] p-8 text-center rounded-2xl w-full h-full min-h-[300px] max-w-lg mx-auto,3,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,192,,exif-info-panel absolute right-0 top-0 bottom-0 bg-black/80 backdrop-blur-md p-6 overflow-y-auto w-full md:w-80 text-white border-l border-white/10 animate-fade-in z-20,3,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,198,,mb-6 bg-white/10 p-3 rounded-lg,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,205,,text-center py-8 text-white/60 animate-pulse,1,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,207,,space-y-4,5,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,209,,exif-group bg-white/5 p-3 rounded-lg,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,216,,exif-group bg-white/5 p-3 rounded-lg,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,218,,grid grid-cols-2 gap-2 text-sm font-mono,4,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,219,,,3,Contenidor simple sense classes/id
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,220,,,2,Contenidor simple sense classes/id
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,221,,,2,Contenidor simple sense classes/id
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,222,,,3,Contenidor simple sense classes/id
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,228,,exif-group bg-white/5 p-3 rounded-lg,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,237,,mt-2 text-xs font-mono text-white/50 break-all bg-black/40 p-2 rounded h-32 overflow-y-auto,1,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,247,,text-center py-8 text-white/60,1,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,273,,media-viewer-footer,1,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,215,,fixed inset-0 z-50 flex items-center justify-center p-4,4,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,216,,absolute inset-0 bg-black/60 backdrop-blur-sm,0,DIV Buit (Sense contingut)
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,217,,bg-theme-panel border border-[var(--border-master)] rounded-[28px] w-full max-w-md relative z-10 overflow-hidden flex flex-col max-h-[90vh] outline-none,3,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,222,,flex items-center justify-between p-6 border-b border-[var(--border-master)],2,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,229,,p-6 overflow-y-auto flex-1 flex flex-col gap-8,12,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,231,,space-y-4,4,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,232,,flex items-center gap-2 mb-4,2,
