Component,Arxiu,Linia,Patró Estructural,Sospitós?,Num Fills,Classes CSS
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,91,Contenidor Mixt,No,3,oauth-dashboard
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,92,Contenidor Mixt,No,2,dashboard-header-flex
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,103,Contenidor Mixt,No,2,calendars-list
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,109,Contenidor Mixt,No,2,[Expressió Dinàmica]
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,110,Contenidor Mixt,No,2,cal-info
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,111,BUIT (Possible Basura),No,0,cal-color-dot
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,120,Contenidor Mixt,No,2,cal-actions
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,135,Wrapper d'Expressió {},No,1,checkbox-visual
CalendarManagerModal.jsx,src/components/modals/CalendarManagerModal.jsx,144,Contenidor de Text Pura,No,1,p-4 text-center text-[var(--text-muted)] italic
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,14,Wrapper HTML (<div>),No,1,fixed inset-0 z-[var(--z-modal)] bg-black/60 backdrop-blur-sm flex items-center justify-center p-4 animate-in fade-in duration-200
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,15,Contenidor Mixt,No,3,connection-modal-content glass-morphism w-full max-w-md w-[85%] sm:w-full
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,16,Contenidor Mixt,No,3,connection-modal-header
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,17,Wrapper de Component (<Sparkles>),No,1,header-icon
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,20,Contenidor Mixt,No,2,header-title
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,29,Contenidor Mixt,No,3,connection-modal-body
ConnectionSelectorModal.jsx,src/components/modals/ConnectionSelectorModal.jsx,31,Contenidor Mixt,No,2,privacy-badge-notice
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,78,Contenidor Mixt,No,2,px-6 pt-6 pb-4 flex items-center justify-between border-b border-theme-border
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,89,Contenidor Mixt,No,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,103,Contenidor Mixt,No,2,grid grid-cols-2 gap-4
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,104,Contenidor Mixt,No,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,108,Contenidor Mixt,No,2,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,115,Contenidor Mixt,No,2,flex gap-4
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,132,Wrapper HTML (<textarea>),SÍ: Wrapper inútil sense estils,1,
CreateEventModal.jsx,src/components/modals/CreateEventModal.jsx,140,Contenidor Mixt,No,2,
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,151,Contenidor Mixt,No,3,[Expressió Dinàmica]
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,152,BUIT (Possible Basura),No,0,absolute inset-0 bg-black/60 backdrop-blur-md
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,157,Contenidor Mixt,No,4,[Expressió Dinàmica]
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,163,Contenidor Mixt,No,2,flex items-center justify-between p-5 border-b border-[var(--border-master)] bg-[var(--bg-panel-elevated)]
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,164,Contenidor Mixt,No,2,flex items-center gap-3
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,173,Wrapper d'Expressió {},No,1,flex items-center gap-2
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,191,Contenidor Mixt,No,10,flex-1 overflow-y-auto p-5 space-y-5 custom-scrollbar pb-24
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,195,Contenidor Mixt,No,2,space-y-1.5 opacity-in
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,208,Contenidor Mixt,No,2,space-y-1.5
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,209,Contenidor Mixt,No,2,flex justify-between items-center mb-1
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,217,Wrapper de Component (<Suspense>),No,1,[Expressió Dinàmica]
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,218,Contenidor de Text Pura,No,1,h-40 w-full animate-pulse bg-[#3B332A] rounded-xl flex items-center justify-center text-white/40 font-mono text-xs
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,231,Contenidor Mixt,No,2,grid grid-cols-2 gap-4
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,232,Contenidor Mixt,No,2,space-y-1.5
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,234,Contenidor Mixt,No,2,relative
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,243,Contenidor Mixt,No,4,space-y-1.5
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,251,Contenidor d'Icona (<svg>),No,1,absolute right-9 top-[372px] md:top-[388px] pointer-events-none text-white/50
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,259,Contenidor Mixt,No,2,space-y-3 pt-2
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,263,Contenidor d'Icones Múltiples/Mixt,No,3,relative w-full aspect-video rounded-xl overflow-hidden bg-black/50 border border-white/10 group
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,293,Contenidor d'Icona (<svg>),No,1,text-white/60 mb-3 group-hover:scale-110 group-hover:text-white transition-all
CreatePostModal.jsx,src/components/modals/CreatePostModal.jsx,304,Wrapper d'Expressió {},No,1,px-5 py-2.5 bg-orange-500/20 text-orange-400 font-bold rounded-full text-sm group-hover:bg-orange-500 group-hover:text-white transition-colors
GlobalModals.jsx,src/components/modals/GlobalModals.jsx,83,Contenidor Mixt,No,13,outline-none contents
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,48,BUIT (Possible Basura),No,0,fixed inset-0 z-[100] flex items-center justify-center p-4 bg-black/60 backdrop-blur-sm sm:items-center sm:p-0
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,55,Contenidor Mixt,No,2,flex items-center justify-between p-5 border-b border-[var(--border-master)] bg-gradient-to-r from-[var(--theme-accent-primary)]/10 to-transparent
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,56,Contenidor Mixt,No,2,flex items-center gap-3
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,68,Wrapper d'Expressió {},No,1,p-6 overflow-y-auto flex-1
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,70,Wrapper HTML (<span>),No,1,flex items-center justify-center py-10
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,74,Contenidor Mixt,No,2,text-center py-10 opacity-60
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,79,Wrapper d'Expressió {},No,1,space-y-4
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,89,Wrapper HTML (<div>),No,1,[Expressió Dinàmica]
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,98,Contenidor Mixt,No,2,flex items-start gap-3
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,99,Wrapper d'Expressió {},No,1,mt-1 bg-black/40 p-2 rounded-full
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,102,Contenidor Mixt,No,3,
HistoryModal.jsx,src/components/modals/HistoryModal.jsx,122,Contenidor Mixt,No,2,p-5 border-t border-[var(--border-master)] bg-[var(--bg-panel)] flex justify-end gap-3
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,9,Wrapper HTML (<div>),No,1,legal-modal-overlay animate-fade-in
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,10,Contenidor Mixt,No,3,[Expressió Dinàmica]
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,11,Contenidor Mixt,No,3,legal-modal-header
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,12,Wrapper d'Expressió {},No,1,header-icon-badge
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,15,Contenidor Mixt,No,2,header-text
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,26,Contenidor Mixt,No,2,legal-document-body
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,27,Contenidor de Text Pura,No,1,watermark-logo
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,28,Wrapper d'Expressió {},No,1,doc-scroll-area
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,30,Wrapper d'Expressió {},No,1,legal-text-content
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,49,Contenidor Mixt,No,2,no-content
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,58,Contenidor Mixt,No,2,protection-badge
LegalDocsModal.jsx,src/components/modals/LegalDocsModal.jsx,62,Contenidor Mixt,No,2,footer-actions
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,139,Contenidor Mixt,No,3,media-viewer-overlay
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,140,Contenidor Mixt,No,2,media-viewer-toolbar
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,141,Wrapper HTML (<span>),No,1,toolbar-left
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,144,Contenidor Mixt,No,3,toolbar-right
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,161,Contenidor Mixt,No,4,media-viewer-content
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,168,Contenidor Mixt,No,4,viewer-main-media-container relative h-full w-full flex items-center justify-center
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,183,Contenidor Mixt,No,3,viewer-main-media flex items-center justify-center bg-[var(--theme-surface-sunken)] flex-col text-[var(--theme-text-muted)] p-8 text-center rounded-2xl w-full h-full min-h-[300px] max-w-lg mx-auto
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,192,Contenidor Mixt,No,3,exif-info-panel absolute right-0 top-0 bottom-0 bg-black/80 backdrop-blur-md p-6 overflow-y-auto w-full md:w-80 text-white border-l border-white/10 animate-fade-in z-20
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,198,Contenidor Mixt,No,2,mb-6 bg-white/10 p-3 rounded-lg
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,205,Contenidor de Text Pura,No,1,text-center py-8 text-white/60 animate-pulse
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,207,Contenidor Mixt,No,5,space-y-4
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,209,Contenidor Mixt,No,2,exif-group bg-white/5 p-3 rounded-lg
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,216,Contenidor Mixt,No,2,exif-group bg-white/5 p-3 rounded-lg
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,218,Contenidor Mixt,No,4,grid grid-cols-2 gap-2 text-sm font-mono
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,219,Contenidor Mixt,No,3,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,220,Contenidor Mixt,No,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,221,Contenidor Mixt,No,2,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,222,Contenidor Mixt,No,3,
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,228,Contenidor Mixt,No,2,exif-group bg-white/5 p-3 rounded-lg
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,237,Wrapper d'Expressió {},No,1,mt-2 text-xs font-mono text-white/50 break-all bg-black/40 p-2 rounded h-32 overflow-y-auto
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,247,Wrapper HTML (<p>),No,1,text-center py-8 text-white/60
MediaViewerModal.jsx,src/components/modals/MediaViewerModal.jsx,273,Wrapper d'Expressió {},No,1,media-viewer-footer
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,215,Contenidor Mixt,No,4,fixed inset-0 z-50 flex items-center justify-center p-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,216,BUIT (Possible Basura),No,0,absolute inset-0 bg-black/60 backdrop-blur-sm
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,217,Contenidor Mixt,No,3,bg-theme-panel border border-[var(--border-master)] rounded-[28px] w-full max-w-md relative z-10 overflow-hidden flex flex-col max-h-[90vh] outline-none
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,222,Contenidor Mixt,No,2,flex items-center justify-between p-6 border-b border-[var(--border-master)]
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,229,Contenidor Mixt,No,12,p-6 overflow-y-auto flex-1 flex flex-col gap-8
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,231,Contenidor Mixt,No,4,space-y-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,232,Contenidor Mixt,No,2,flex items-center gap-2 mb-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,238,Contenidor Mixt,No,8,relative w-full h-32 rounded-2xl bg-black/40 overflow-visible border border-white/10 mb-10 mt-6 group/cover
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,247,Contenidor d'Icona (<ImageIcon>),No,1,w-full h-full flex items-center justify-center rounded-2xl cursor-pointer
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,253,Wrapper HTML (<button>),No,1,absolute top-2 right-2 flex flex-col gap-2 opacity-0 group-hover/cover:opacity-100 transition-opacity z-20
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,261,Contenidor Mixt,No,2,absolute inset-0 flex flex-col items-center justify-center opacity-0 group-hover/cover:opacity-100 transition-opacity pointer-events-none
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,277,Wrapper HTML (<div>),No,1,absolute -bottom-8 left-6 z-30
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,278,Contenidor Mixt,No,3,relative w-24 h-24 rounded-[50%] border-[3px] border-solid border-[var(--bg-master)] overflow-hidden bg-gray-900 group/avatar cursor-pointer shadow-xl isolate aspect-square flex items-center justify-center
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,282,Wrapper de Component (<User>),No,1,w-full h-full flex items-center justify-center bg-gray-800
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,286,Wrapper de Component (<Camera>),No,1,absolute inset-0 flex items-center justify-center opacity-0 group-hover/avatar:opacity-100 transition-opacity
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,294,Contenidor Mixt,No,2,space-y-4 pt-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,295,Contenidor Mixt,No,2,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,305,Contenidor Mixt,No,2,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,317,BUIT (Possible Basura),No,0,h-px w-full bg-white/5 my-0
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,319,Wrapper de Component (<LanguageSelector>),No,1,w-full
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,324,Contenidor Mixt,No,5,space-y-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,325,Contenidor Mixt,No,2,flex items-center gap-2 mb-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,331,Contenidor Mixt,No,2,bg-white/5 border border-white/10 rounded-2xl p-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,336,Contenidor Mixt,No,2,flex justify-between items-center cursor-pointer hover:bg-white/5 p-2 -mx-2 rounded-xl transition-all
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,346,Contenidor Mixt,No,2,bg-white/5 border border-white/10 rounded-2xl p-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,350,Contenidor Mixt,No,2,space-y-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,354,Contenidor Mixt,No,2,flex justify-between items-center bg-black/40 p-3 rounded-xl border border-white/5 shadow-inner
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,355,Contenidor Mixt,No,2,flex items-center gap-3
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,356,Wrapper d'Expressió {},No,1,w-8 h-8 rounded-full bg-[var(--theme-accent-primary)]/10 text-[var(--theme-accent-primary)] flex items-center justify-center font-black text-xs
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,389,Wrapper HTML (<div>),No,1,space-y-4 pt-6 border-t border-[var(--border-master)]
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,390,Wrapper HTML (<div>),No,1,bg-white/5 border border-white/10 rounded-2xl p-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,391,Contenidor Mixt,No,2,flex justify-between items-center mb-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,392,Contenidor Mixt,No,2,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,406,BUIT (Possible Basura),No,0,w-11 h-6 bg-gray-700 peer-focus:outline-none rounded-full peer peer-checked:after:translate-x-full peer-checked:after:border-white after:content-[''] after:absolute after:top-[2px] after:left-[2px] after:bg-white after:border-gray-300 after:border after:rounded-full after:h-5 after:w-5 after:transition-all peer-checked:bg-[var(--theme-accent-primary)]
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,413,Contenidor Mixt,No,2,space-y-4 pt-6 border-t border-[var(--border-master)]
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,414,Contenidor Mixt,No,2,flex items-center gap-2 mb-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,418,Contenidor Mixt,No,2,bg-red-500/10 border border-red-500/20 rounded-2xl p-4
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,430,Contenidor Mixt,No,2,space-y-3 bg-red-950/40 p-3 rounded-xl border border-red-500/30 animate-in fade-in slide-in-from-bottom-2 duration-300
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,432,Contenidor Mixt,No,2,flex gap-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,455,BUIT (Possible Basura),No,0,h-px w-full bg-emerald-500/20 my-2
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,457,Contenidor Mixt,No,2,space-y-4 mb-8
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,458,Contenidor Mixt,No,2,flex items-center gap-3 mb-6
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,465,Contenidor Mixt,No,5,bg-[#052e16]/40 border border-[#10b981]/30 rounded-3xl p-6 relative overflow-hidden group
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,467,BUIT (Possible Basura),No,0,absolute inset-0 bg-[url('/assets/patterns/noise.png')] opacity-10 mix-blend-overlay pointer-events-none
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,468,BUIT (Possible Basura),No,0,absolute -inset-x-full top-0 h-px bg-gradient-to-r from-transparent via-[#10b981]/50 to-transparent group-hover:animate-[shimmer_2s_infinite]
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,470,Contenidor Mixt,No,2,flex items-start gap-3 mb-6
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,472,Contenidor Mixt,No,2,
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,478,Contenidor Mixt,No,2,space-y-3 relative z-10 w-full
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,487,Contenidor Mixt,No,2,flex items-center gap-3
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,497,Contenidor Mixt,No,2,flex items-center gap-3
ProfileSettingsModal.jsx,src/components/modals/ProfileSettingsModal.jsx,509,Wrapper HTML (<button>),No,1,p-6 border-t border-[var(--border-master)] bg-black/40
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,35,Contenidor Mixt,No,2,studio-overlay
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,36,Contenidor Mixt,No,3,studio-content
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,37,Contenidor Mixt,No,2,studio-header
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,38,Contenidor d'Icones Múltiples/Mixt,No,2,header-title
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,45,Contenidor Mixt,No,6,studio-body
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,46,Wrapper HTML (<p>),No,1,studio-advice alzina-blindatge
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,50,Contenidor d'Icones Múltiples/Mixt,No,2,studio-section
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,51,Contenidor Mixt,No,2,section-header
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,62,Contenidor Mixt,No,3,studio-section
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,63,Contenidor Mixt,No,2,section-header
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,67,Contenidor Mixt,No,2,cover-studio-section
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,68,Contenidor Mixt,No,3,studio-preview cover-preview group/cover
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,81,Contenidor d'Icones Múltiples/Mixt,No,2,empty-preview
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,89,Contenidor Mixt,No,2,absolute inset-0 flex flex-col items-center justify-center opacity-0 group-hover/cover:opacity-100 transition-opacity pointer-events-none z-dropdown bg-black/60
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,103,Contenidor Mixt,No,3,studio-action-bar items-center
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,141,Contenidor Mixt,No,3,studio-section
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,142,Contenidor Mixt,No,2,section-header
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,146,Contenidor Mixt,No,2,avatar-studio-section
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,147,Wrapper HTML (<div>),No,1,avatar-studio-preview
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,153,Wrapper d'Expressió {},No,1,avatar-big-preview
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,157,Wrapper de Component (<User>),No,1,avatar-placeholder
ProfileStudioModal.jsx,src/components/modals/ProfileStudioModal.jsx,164,Contenidor Mixt,No,3,studio-action-bar items-center
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,149,Contenidor Mixt,No,3,fixed inset-0 z-modal bg-theme-base md:absolute md:inset-0 md:bg-theme-panel md:backdrop-blur-3xl flex flex-col animate-in slide-in-from-bottom-4 duration-300 font-sans text-theme-text overflow-hidden
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,151,Contenidor Mixt,No,2,px-6 pt-12 pb-4 md:pt-8 flex flex-col gap-4 border-b border-[var(--border-master)] shrink-0
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,152,Contenidor Mixt,No,2,flex justify-between items-start
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,153,Contenidor Mixt,No,2,
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,157,Contenidor Mixt,No,6,flex items-center gap-2 mt-3 text-sm font-bold uppercase tracking-widest text-gray-400
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,184,Contenidor Mixt,No,3,relative mt-2
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,203,Wrapper d'Expressió {},No,1,flex-1 overflow-y-auto custom-scrollbar p-2
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,205,Contenidor Mixt,No,2,flex flex-col items-center justify-center h-full gap-4 text-gray-400
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,206,BUIT (Possible Basura),No,0,w-8 h-8 rounded-full border-4 border-t-[var(--theme-accent-primary)] border-gray-700 animate-spin
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,210,Contenidor Mixt,No,3,flex flex-col h-full items-center p-6 gap-6 text-center animate-in fade-in duration-500
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,211,Wrapper de Component (<MapPin>),No,1,w-16 h-16 rounded-full bg-[var(--theme-accent-primary-faint)] flex items-center justify-center text-[var(--theme-accent-primary)] mb-2 shadow-[0_0_30px_rgba(255;107;0;0.3)]
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,214,Contenidor Mixt,No,2,
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,219,Contenidor Mixt,No,3,w-full max-w-sm flex flex-col gap-4 mt-4
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,241,Contenidor Mixt,No,4,flex flex-col items-center justify-center h-full gap-2 text-gray-500 text-center px-8
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,245,Contenidor Mixt,No,2,mt-6 p-5 bg-black/5 dark:bg-white/5 rounded-2xl border border-[var(--border-master)] text-center w-full max-w-sm transform hover:scale-[1.02] transition-transform
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,260,Wrapper d'Expressió {},No,1,flex flex-col gap-1
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,288,Contenidor Mixt,No,2,flex flex-col items-start gap-1 text-left
TownSelectorModal.jsx,src/components/modals/TownSelectorModal.jsx,298,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,73,Wrapper HTML (<div>),No,1,fixed inset-0 bg-black/60 backdrop-blur-sm flex items-center justify-center p-4 notranslate
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,74,Contenidor Mixt,No,2,relative w-full max-w-sm mx-4 shadow-2xl bg-white dark:bg-[#141417] rounded-3xl border border-black/10 dark:border-white/10
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,79,Contenidor Mixt,No,4,p-6 pb-4
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,80,Contenidor Mixt,No,2,flex items-center gap-3 mb-6
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,81,Wrapper de Component (<Globe>),No,1,w-10 h-10 rounded-full bg-[#ff6d23]/20 flex items-center justify-center text-[#ff6d23] flex-shrink-0
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,93,Contenidor Mixt,No,2,flex flex-col gap-2 mb-2
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,105,Contenidor Mixt,No,2,flex flex-col gap-2 mt-2
TranslationModal.jsx,src/components/modals/TranslationModal.jsx,149,BUIT (Possible Basura),No,0,w-full flex items-center justify-center p-1 rounded-xl bg-gray-50 dark:bg-white/5 border border-black/5 dark:border-white/5
